experiment,scheme,power_model,pidle,pdyn,dynamic_carbon_usage,idle_carbon_usage,total_carbon_usage
1,spark_fifo,model_0,0.0,1.0,21985054322.67999,0.0,21985054322.67999
1,dynamic_partition,model_0,0.0,1.0,21469482363.67009,0.0,21469482363.67009
1,decima,model_0,0.0,1.0,14915130230.720026,0.0,14915130230.720026
1,green_hadoop,model_0,0.0,1.0,21470627915.010254,0.0,21470627915.010254
1,cap_fifo,model_0,0.0,1.0,13724637368.369965,0.0,13724637368.369965
1,cap_partition,model_0,0.0,1.0,15603934290.4197,0.0,15603934290.4197
1,cap_decima,model_0,0.0,1.0,13855827467.769655,0.0,13855827467.769655
1,pcaps,model_0,0.0,1.0,11448381085.500008,0.0,11448381085.500008
2,spark_fifo,model_0,0.0,1.0,19087504738.94999,0.0,19087504738.94999
2,dynamic_partition,model_0,0.0,1.0,18196588507.34023,0.0,18196588507.34023
2,decima,model_0,0.0,1.0,12829106310.35036,0.0,12829106310.35036
2,green_hadoop,model_0,0.0,1.0,18718685173.91002,0.0,18718685173.91002
2,cap_fifo,model_0,0.0,1.0,10396230697.50976,0.0,10396230697.50976
2,cap_partition,model_0,0.0,1.0,12383273236.959892,0.0,12383273236.959892
2,cap_decima,model_0,0.0,1.0,11012924002.970308,0.0,11012924002.970308
2,pcaps,model_0,0.0,1.0,8815352531.079865,0.0,8815352531.079865
3,spark_fifo,model_0,0.0,1.0,21397719790.860386,0.0,21397719790.860386
3,dynamic_partition,model_0,0.0,1.0,19282087908.21006,0.0,19282087908.21006
3,decima,model_0,0.0,1.0,13641911661.780107,0.0,13641911661.780107
3,green_hadoop,model_0,0.0,1.0,20566054217.879963,0.0,20566054217.879963
3,cap_fifo,model_0,0.0,1.0,11619190554.089857,0.0,11619190554.089857
3,cap_partition,model_0,0.0,1.0,15145763399.78011,0.0,15145763399.78011
3,cap_decima,model_0,0.0,1.0,12636242366.729742,0.0,12636242366.729742
3,pcaps,model_0,0.0,1.0,10244372643.379848,0.0,10244372643.379848
4,spark_fifo,model_0,0.0,1.0,22046630286.610134,0.0,22046630286.610134
4,dynamic_partition,model_0,0.0,1.0,21222188501.679924,0.0,21222188501.679924
4,decima,model_0,0.0,1.0,16056873275.260212,0.0,16056873275.260212
4,green_hadoop,model_0,0.0,1.0,21884926270.88005,0.0,21884926270.88005
4,cap_fifo,model_0,0.0,1.0,13340471501.599848,0.0,13340471501.599848
4,cap_partition,model_0,0.0,1.0,15381722354.239836,0.0,15381722354.239836
4,cap_decima,model_0,0.0,1.0,14887000651.279821,0.0,14887000651.279821
4,pcaps,model_0,0.0,1.0,11414621496.589804,0.0,11414621496.589804
5,spark_fifo,model_0,0.0,1.0,21094899002.659733,0.0,21094899002.659733
5,dynamic_partition,model_0,0.0,1.0,19630655398.519867,0.0,19630655398.519867
5,decima,model_0,0.0,1.0,13314967487.989862,0.0,13314967487.989862
5,green_hadoop,model_0,0.0,1.0,19612435998.410107,0.0,19612435998.410107
5,cap_fifo,model_0,0.0,1.0,11932812412.520124,0.0,11932812412.520124
5,cap_partition,model_0,0.0,1.0,13410313060.97981,0.0,13410313060.97981
5,cap_decima,model_0,0.0,1.0,12798837810.129835,0.0,12798837810.129835
5,pcaps,model_0,0.0,1.0,9392714029.440031,0.0,9392714029.440031
1,spark_fifo,model_1,0.1,0.9,19786548890.412003,6262103010.0,26048651900.412003
1,dynamic_partition,model_1,0.1,0.9,19322534127.302895,6262273933.5,25584808060.802895
1,decima,model_1,0.1,0.9,13423617207.647873,6288368254.5,19711985462.147873
1,green_hadoop,model_1,0.1,0.9,19323565123.508984,6267691690.5,25591256814.008984
1,cap_fifo,model_1,0.1,0.9,12352173631.53274,6364299724.5,18716473356.032738
1,cap_partition,model_1,0.1,0.9,14043540861.377893,6364864290.0,20408405151.37789
1,cap_decima,model_1,0.1,0.9,12470244720.992985,6389907172.5,18860151893.492985
1,pcaps,model_1,0.1,0.9,10303542976.949923,6309474717.0,16613017693.949923
2,spark_fifo,model_1,0.1,0.9,17178754265.054907,6011244980.8,23189999245.854908
2,dynamic_partition,model_1,0.1,0.9,16376929656.605951,6007926984.4,22384856641.00595
2,decima,model_1,0.1,0.9,11546195679.315084,6012341192.0,17558536871.315086
2,green_hadoop,model_1,0.1,0.9,16846816656.51913,6005754137.2,22852570793.71913
2,cap_fifo,model_1,0.1,0.9,9356607627.759064,6074345638.0,15430953265.759064
2,cap_partition,model_1,0.1,0.9,11144945913.264082,6056311985.0,17201257898.264084
2,cap_decima,model_1,0.1,0.9,9911631602.672894,6112933251.0,16024564853.672894
2,pcaps,model_1,0.1,0.9,7933817277.972032,6016295382.4,13950112660.372032
3,spark_fifo,model_1,0.1,0.9,19257947811.773308,5622835714.8,24880783526.573307
3,dynamic_partition,model_1,0.1,0.9,17353879117.388737,5591212800.0,22945091917.388737
3,decima,model_1,0.1,0.9,12277720495.602013,5530684080.0,17808404575.602013
3,green_hadoop,model_1,0.1,0.9,18509448796.09142,5625678105.6,24135126901.69142
3,cap_fifo,model_1,0.1,0.9,10457271498.680777,5588555040.0,16045826538.680777
3,cap_partition,model_1,0.1,0.9,13631187059.80228,5822542446.6,19453729506.402283
3,cap_decima,model_1,0.1,0.9,11372618130.057076,5578202320.0,16950820450.057076
3,pcaps,model_1,0.1,0.9,9219935379.04186,5546752160.0,14766687539.04186
4,spark_fifo,model_1,0.1,0.9,19841967257.948715,5438113280.0,25280080537.948715
4,dynamic_partition,model_1,0.1,0.9,19099969651.51207,5438877680.0,24538847331.51207
4,decima,model_1,0.1,0.9,14451185947.733875,5426337600.0,19877523547.733875
4,green_hadoop,model_1,0.1,0.9,19696433643.79184,5436988240.0,25133421883.79184
4,cap_fifo,model_1,0.1,0.9,12006424351.439754,5510174640.0,17516598991.439754
4,cap_partition,model_1,0.1,0.9,13843550118.815605,5549707840.0,19393257958.815605
4,cap_decima,model_1,0.1,0.9,13398300586.151632,5420147920.0,18818448506.151634
4,pcaps,model_1,0.1,0.9,10273159346.930964,5439908640.0,15713067986.930964
5,spark_fifo,model_1,0.1,0.9,18985409102.394077,5721093003.0,24706502105.394077
5,dynamic_partition,model_1,0.1,0.9,17667589858.668015,5720672400.0,23388262258.668015
5,decima,model_1,0.1,0.9,11983470739.190937,5761541729.4,17745012468.590935
5,green_hadoop,model_1,0.1,0.9,17651192398.56875,5718321450.6,23369513849.168747
5,cap_fifo,model_1,0.1,0.9,10739531171.267933,5792250175.8,16531781347.067932
5,cap_partition,model_1,0.1,0.9,12069281754.881994,5785170763.2,17854452518.081993
5,cap_decima,model_1,0.1,0.9,11518954029.116869,5773482427.2,17292436456.316868
5,pcaps,model_1,0.1,0.9,8453442626.495848,5740546998.6,14193989625.095848
1,spark_fifo,model_2,0.2,0.8,17588043458.143967,12524206020.0,30112249478.143967
1,dynamic_partition,model_2,0.2,0.8,17175585890.93645,12524547867.0,29700133757.936447
1,decima,model_2,0.2,0.8,11932104184.575964,12576736509.0,24508840693.575966
