Submeasurements | avg. watts @ 100%,Submeasurements | avg. watts @ active idle,P_idle_W,P_dyn_W,P_peak_W,ratio_Pidle_Ppeak,ratio_Pidle_Ppeak_percent,ratio_Pdyn_Ppeak,ratio_Pdyn_Ppeak_percent
732,575,575.000000,157.000000,732.000000,0.785519,78.551913,0.214481,21.448087
226,174,174.000000,52.000000,226.000000,0.769912,76.991150,0.230088,23.008850
294,226,226.000000,68.000000,294.000000,0.768707,76.870748,0.231293,23.129252
269,206,206.000000,63.000000,269.000000,0.765799,76.579926,0.234201,23.420074
269,206,206.000000,63.000000,269.000000,0.765799,76.579926,0.234201,23.420074
296,225,225.000000,71.000000,296.000000,0.760135,76.013514,0.239865,23.986486
300,223,223.000000,77.000000,300.000000,0.743333,74.333333,0.256667,25.666667
300,223,223.000000,77.000000,300.000000,0.743333,74.333333,0.256667,25.666667
117,86,86.000000,31.000000,117.000000,0.735043,73.504274,0.264957,26.495726
260,187,187.000000,73.000000,260.000000,0.719231,71.923077,0.280769,28.076923
276,198,198.000000,78.000000,276.000000,0.717391,71.739130,0.282609,28.260870
387,271,271.000000,116.000000,387.000000,0.700258,70.025840,0.299742,29.974160
135,93.7,93.700000,41.300000,135.000000,0.694074,69.407407,0.305926,30.592593
131,90.8,90.800000,40.200000,131.000000,0.693130,69.312977,0.306870,30.687023
357,245,245.000000,112.000000,357.000000,0.686275,68.627451,0.313725,31.372549
315,216,216.000000,99.000000,315.000000,0.685714,68.571429,0.314286,31.428571
234,158,158.000000,76.000000,234.000000,0.675214,67.521368,0.324786,32.478632
253,170,170.000000,83.000000,253.000000,0.671937,67.193676,0.328063,32.806324
231,155,155.000000,76.000000,231.000000,0.670996,67.099567,0.329004,32.900433
627,418,418.000000,209.000000,627.000000,0.666667,66.666667,0.333333,33.333333
258,172,172.000000,86.000000,258.000000,0.666667,66.666667,0.333333,33.333333
231,154,154.000000,77.000000,231.000000,0.666667,66.666667,0.333333,33.333333
231,154,154.000000,77.000000,231.000000,0.666667,66.666667,0.333333,33.333333
280,186,186.000000,94.000000,280.000000,0.664286,66.428571,0.335714,33.571429
268,178,178.000000,90.000000,268.000000,0.664179,66.417910,0.335821,33.582090
334,220,220.000000,114.000000,334.000000,0.658683,65.868263,0.341317,34.131737
291,191,191.000000,100.000000,291.000000,0.656357,65.635739,0.343643,34.364261
334,219,219.000000,115.000000,334.000000,0.655689,65.568862,0.344311,34.431138
206,135,135.000000,71.000000,206.000000,0.655340,65.533981,0.344660,34.466019
117,75.2,75.200000,41.800000,117.000000,0.642735,64.273504,0.357265,35.726496
117,75.1,75.100000,41.900000,117.000000,0.641880,64.188034,0.358120,35.811966
279,179,179.000000,100.000000,279.000000,0.641577,64.157706,0.358423,35.842294
195,125,125.000000,70.000000,195.000000,0.641026,64.102564,0.358974,35.897436
233,148,148.000000,85.000000,233.000000,0.635193,63.519313,0.364807,36.480687
226,143,143.000000,83.000000,226.000000,0.632743,63.274336,0.367257,36.725664
220,138,138.000000,82.000000,220.000000,0.627273,62.727273,0.372727,37.272727
265,166,166.000000,99.000000,265.000000,0.626415,62.641509,0.373585,37.358491
235,147,147.000000,88.000000,235.000000,0.625532,62.553191,0.374468,37.446809
235,147,147.000000,88.000000,235.000000,0.625532,62.553191,0.374468,37.446809
288,180,180.000000,108.000000,288.000000,0.625000,62.500000,0.375000,37.500000
833,520,520.000000,313.000000,833.000000,0.624250,62.424970,0.375750,37.575030
169,105,105.000000,64.000000,169.000000,0.621302,62.130178,0.378698,37.869822
221,136,136.000000,85.000000,221.000000,0.615385,61.538462,0.384615,38.461538
352,216,216.000000,136.000000,352.000000,0.613636,61.363636,0.386364,38.636364
109,66.8,66.800000,42.200000,109.000000,0.612844,61.284404,0.387156,38.715596
221,135,135.000000,86.000000,221.000000,0.610860,61.085973,0.389140,38.914027
132,79.8,79.800000,52.200000,132.000000,0.604545,60.454545,0.395455,39.545455
111,67,67.000000,44.000000,111.000000,0.603604,60.360360,0.396396,39.639640
353,213,213.000000,140.000000,353.000000,0.603399,60.339943,0.396601,39.660057
104,62.1,62.100000,41.900000,104.000000,0.597115,59.711538,0.402885,40.288462
260,155,155.000000,105.000000,260.000000,0.596154,59.615385,0.403846,40.384615
299,178,178.000000,121.000000,299.000000,0.595318,59.531773,0.404682,40.468227
269,160,160.000000,109.000000,269.000000,0.594796,59.479554,0.405204,40.520446
123,73.1,73.100000,49.900000,123.000000,0.594309,59.430894,0.405691,40.569106
276,164,164.000000,112.000000,276.000000,0.594203,59.420290,0.405797,40.579710
938,553,553.000000,385.000000,938.000000,0.589552,58.955224,0.410448,41.044776
2003,1178,1178.000000,825.000000,2003.000000,0.588118,58.811782,0.411882,41.188218
244,143,143.000000,101.000000,244.000000,0.586066,58.606557,0.413934,41.393443
175,102,102.000000,73.000000,175.000000,0.582857,58.285714,0.417143,41.714286
322,187,187.000000,135.000000,322.000000,0.580745,58.074534,0.419255,41.925466
